City,Latitude,Longitude
Adana,36.9936175,35.3258349
Adıyaman,37.78936,38.3141101
Afyonkarahisar,38.6852729,30.6427411
Ağrı,39.52916,43.3835645
Amasya,40.6569451,35.7727169
Ankara,39.7160439,32.7059948
Antalya,36.9009641,30.6954846
Artvin,41.160506,41.8398627
Aydın,37.8413007,27.8328374
Balıkesir,39.5400798,28.0228793
Bilecik,40.1435101,29.9752911
Bingöl,39.073803,40.7296181
Bitlis,38.4950867,42.1678372
Bolu,40.6212099,31.6460259
Burdur,37.5183407,30.1691254
Bursa,40.1827657,29.0677305
Çanakkale,40.0549886,26.9278292
Çankırı,40.6667691,33.4526069
Çorum,40.5698389,34.7269292
Denizli,37.8275892,29.2389539
Diyarbakır,37.9167467,40.2227753
Edirne,41.6759327,26.5587225
Elazığ,38.674771,39.2224523
Erzincan,39.6073429,39.2013209
Erzurum,39.7581897,41.4032241
Eskişehir,39.6821156,31.0723476
Gaziantep,37.0611756,37.3793085
Giresun,40.9146927,38.3885568
Gümüşhane,40.2061415,39.309437
Hakkari,37.495358,44.1054777
Hatay,36.4137468,36.2307407
Isparta,37.9465412,30.9602093
Mersin,36.8117583,34.6292679
İstanbul,41.0096334,28.9651646
İzmir,38.4147331,27.1434119
Kars,40.4558435,42.9979531
Kastamonu,41.3680217,33.7619177
Kayseri,38.6582232,35.5546374
Kırklareli,41.7078046,27.6051334
Kırşehir,39.1461142,34.1605587
Kocaeli,40.8216536,29.9507184
Konya,37.8719963,32.4844015
Kütahya,39.2522508,29.4937732
Malatya,38.4820156,38.1035355
Manisa,38.6155029,27.4255716
Kahramanmaraş,37.7830345,36.830655
Mardin,37.3414854,40.7476249
Muğla,37.1642053,28.2624288
Muş,38.9740786,41.9590433
Nevşehir,38.7235072,34.7194168
Niğde,38.0664691,34.7051438
Ordu,40.8292569,37.4082764
Rize,40.9347897,40.827136
Sakarya,40.7542228,30.3834858
Samsun,41.2303557,35.9683338
Siirt,37.8646916,42.0510294
Sinop,41.6394277,34.8681231
Sivas,39.4191717,37.1012388
Tekirdağ,41.1185843,27.4144196
Tokat,40.327747,36.5539494
Trabzon,41.0058605,39.7180928
Tunceli,39.2197553,39.4139674
Şanlıurfa,37.2595198,39.0408174
Uşak,38.609666,29.3306506
Van,38.3249599,43.6589825
Yozgat,39.7152422,35.170998
Zonguldak,41.250324,31.8389738
Aksaray,38.4326291,33.8976963
Bayburt,40.2023027,40.2121599
Karaman,37.1796848,33.3383665
Kırıkkale,39.8473604,33.5144853
Batman,37.7874104,41.2573924
Şırnak,37.519248,42.4605665
Bartın ,41.4947715,32.4354255
Ardahan,41.0372501,42.7462189
Iğdır,39.8945292,43.9427459
Yalova,40.6291846,29.2500262
Karabük,41.1110349,32.6193901
Kilis ,36.7797231,37.1416892
Osmaniye,37.2517882,36.2993502
Düzce,40.8774545,31.2009618
