City,Eq_Latitude,Eq_Longitude,Magnitude,Depth
Kars,40.323,42.1726,4.2,7.0
Elazığ,38.3898,39.0158,4.9,11.88
Tunceli,39.4648,40.0195,4.2,13.21
Balıkesir,39.4411,27.9005,4.0,14.36
Balıkesir,39.4435,27.9103,4.3,11.28
Balıkesir,39.443000000000005,27.9336,4.6,7.0
Kars,40.3255,42.2033,4.0,7.04
Kars,40.3106,42.1895,4.0,6.97
Denizli,37.843,29.6411,4.0,7.0
Adana,37.6265,35.6468,4.0,11.25
Antalya,36.786,29.9871,4.2,53.54
Muğla,36.46,28.7003,4.6,7.02
Van,38.9521,43.6836,4.0,9.41
Yalova,40.6778,29.2473,4.0,13.86
İstanbul,40.8416,28.2726,4.1,4.58
İstanbul,40.8818,28.214000000000002,5.8,7.97
İstanbul,40.8836,28.215999999999998,4.6,5.91
Çankırı,40.732,32.9818,4.3,10.61
Çankırı,40.7285,32.9851,4.1,10.22
Çankırı,40.7316,32.964,4.3,8.41
Çankırı,40.722,32.9483,4.8,5.83
Çankırı,40.73,32.9675,4.7,7.96
Van,38.5275,44.2438,4.3,21.26
Elazığ,39.1418,40.1853,4.0,11.19
Adana,36.385999999999996,35.56,4.0,18.23
Diyarbakır,38.3153,40.8303,4.2,6.41
Denizli,37.851,29.584,6.0,10.92
Denizli,37.828,29.614,4.2,17.7
İzmir,37.972,26.9535,4.8,18.47
Erzurum,40.4308,41.7896,4.3,7.03
Erzincan,39.5406,38.6421,4.1,9.71
Sakarya,40.745,30.7611,4.6,6.29
Muğla,36.9386,27.6573,4.2,7.01
Tunceli,39.2716,39.8848,4.5,7.28
Muğla,36.9453,27.6741,4.6,8.52
Muğla,36.8955,27.6158,4.0,17.16
Manisa,39.3191,27.8986,4.3,11.53
Muğla,37.1218,28.6813,4.3,6.94
Malatya,38.7686,38.16,4.5,17.77
Malatya,38.772,38.1586,4.0,16.55
Elazığ,38.3865,39.1205,5.2,8.92
Denizli,37.4646,29.3365,4.3,7.17
Denizli,37.4785,29.3573,4.5,7.67
Denizli,37.5031,29.3721,4.1,7.01
Denizli,37.4725,29.3938,4.9,10.3
Malatya,38.7818,38.1505,4.1,16.98
Denizli,37.4703,29.4201,4.3,6.51
Malatya,38.769,38.1668,4.5,10.72
Denizli,37.391,29.4038,4.1,3.27
Denizli,37.465,29.3685,4.1,7.0
Malatya,38.7653,38.1611,4.1,16.08
Denizli,37.4046,29.4208,4.2,6.97
Denizli,37.3875,29.4383,4.1,6.99
Denizli,37.4206,29.4018,4.1,7.0
Denizli,37.4293,29.4016,4.2,6.98
Denizli,37.4655,29.397,4.5,7.0
Denizli,37.4381,29.4395,4.8,12.93
Denizli,37.4401,29.4335,5.5,10.76
Bursa,40.457,28.4505,4.0,13.72
Çanakkale,39.6011,26.4261,5.0,5.8
Hatay,36.2295,35.929,4.0,25.72
Çanakkale,40.3521,27.1253,4.0,6.79
Van,38.573,44.2713,4.0,11.25
Çankırı,40.5541,33.0075,4.7,17.66
Muğla,36.516,28.8265,4.0,12.91
Antalya,36.6115,30.1061,4.2,20.51
Adana,37.2716,35.8176,4.3,33.05
İzmir,38.5653,27.0743,4.3,15.15
Muğla,36.7891,27.9853,4.5,65.88
Bingöl,39.4006,40.4995,4.2,11.68
Erzincan,39.5588,38.6271,4.1,11.18
Yalova,40.5938,28.9716,4.5,12.47
Çanakkale,39.5166,26.1676,4.0,8.26
Yalova,40.6025,28.9493,4.1,14.28
Şırnak,37.2593,42.4641,4.1,6.91
Erzurum,40.272,41.0633,4.0,17.78
İzmir,38.7715,26.538,4.1,11.62
Muğla,36.4288,28.6886,4.0,6.01
İzmir,38.1855,26.844,4.1,10.69
Muğla,36.442,28.724,4.0,24.8
Amasya,40.7225,35.196999999999996,4.0,11.15
Ağrı,39.269,42.7146,4.2,11.06
Muğla,36.891,27.5953,4.0,7.01
Adana,37.4341,35.852,4.1,7.02
Kahramanmaraş,37.6878,37.4016,4.4,10.27
Antalya,37.2003,30.4376,4.0,78.07
Muğla,36.4171,28.6991,4.1,14.86
Antalya,37.1958,30.6241,4.8,50.33
Muğla,36.9653,27.7633,4.3,6.93
Kahramanmaraş,37.3773,36.3855,4.8,10.53
Kahramanmaraş,37.4635,36.3113,4.3,15.29
Osmaniye,37.0201,36.0845,4.1,10.0
Burdur,37.5318,29.848000000000003,4.6,17.58
Van,39.0388,44.1533,4.5,7.52
Kahramanmaraş,37.6883,37.3968,4.1,10.63
Van,38.6235,44.3003,4.7,8.48
Van,38.9413,43.5556,4.5,13.66
Muğla,36.8686,27.5743,4.1,13.55
Çanakkale,39.5906,26.0,4.1,6.42
Bitlis,38.2403,42.391999999999996,4.2,3.69
Şanlıurfa,37.4565,38.595,4.0,9.67
Amasya,40.6888,35.4666,4.1,12.84
Ağrı,39.8856,43.2398,4.2,18.7
Bolu,40.8483,31.6535,4.0,9.45
Çanakkale,39.967,26.8993,4.3,10.39
Muğla,36.8803,27.5366,4.2,15.69
Denizli,37.8166,29.3133,4.2,15.68
Adıyaman,37.5836,38.5036,5.1,9.79
Antalya,37.0928,31.9581,4.4,10.38
Antalya,37.0911,31.953000000000003,4.8,10.76
Bolu,40.8526,31.6393,4.7,10.47
Diyarbakır,38.3408,40.9838,4.1,12.01
Çanakkale,39.5703,26.0895,4.0,11.35
Bingöl,39.268,40.224000000000004,4.1,10.8
Bingöl,39.065,40.284,4.2,12.8
Erzincan,39.9981,40.046,4.2,8.37
Malatya,38.29,38.8178,4.1,9.17
Çanakkale,39.5368,26.0538,4.1,10.24
Tokat,40.5446,36.5975,4.0,15.81
Muğla,37.1116,28.6075,4.2,13.31
Balıkesir,39.3356,27.9778,4.0,4.71
Balıkesir,40.5491,27.8495,4.0,13.79
İzmir,38.5811,26.7285,4.8,17.91
Muğla,37.1146,28.6045,5.1,24.46
Muğla,37.1206,28.5921,5.0,24.75
İzmir,38.7583,26.3531,4.2,8.56
Manisa,38.857,27.4725,4.4,18.09
Muğla,36.7326,28.186999999999998,4.2,66.78
Muğla,36.9508,27.3866,4.6,12.09
Denizli,37.8671,29.5105,4.0,6.33
Van,38.8105,43.4613,4.0,22.43
Antalya,37.0441,30.6678,4.4,52.43
Van,39.1863,43.623000000000005,4.1,4.31
Muğla,37.1255,27.7191,4.2,11.28
Muğla,37.1208,27.7283,4.0,6.98
Muğla,36.9063,27.62,4.5,16.79
Muğla,36.9051,27.645,4.2,9.12
Kahramanmaraş,37.571999999999996,37.5423,4.3,9.02
Muğla,37.1208,27.699,4.7,6.92
Muğla,37.1061,27.7338,4.3,7.0
Muğla,37.1186,27.694000000000003,4.1,6.56
Muğla,37.114000000000004,27.689,4.8,22.6
Gümüşhane,39.9381,39.6228,4.0,12.1
Muğla,36.9783,27.6608,4.1,13.74
Manisa,39.3031,27.8866,4.0,13.08
