City,Venue,Venue Category
Adana,Adana Divan,Hotel
Adana,Fitness Akademi Reşatbey,Gym
Adana,İzmir Hair Design,Salon / Barbershop
Adana,Beta Tea House,Café
Adana,Frame Adana,Restaurant
Adana,Kazım Büfe,Snack Place
Adana,Burn Latin Dans Okulu,Dance Studio
Adana,Geko,Café
Adana,Golden Deluxe Hotel,Hotel
Adana,The Mask Man Kuaför,Salon / Barbershop
Adana,Adana Devlet Tiyatrosu,Theater
Adana,Zeon Bay&Bayan Güzellik Merkezi,Health & Beauty Service
Adana,Sait Balık Restaurant,Seafood Restaurant
Adana,Ciğerci Memet Usta,Kebab Restaurant
Adana,Doğan Kaymaklı Kadayıf,Dessert Shop
Adana,Yeni Sauna,Bath House
Adana,Otel Şenbayrak City,Hotel
Adana,Merdiven Ocakbaşı,Diner
Adana,Maki,Lounge
Adana,Büyüksaat Ciğercileri,Food Truck
Adana,Şirin Park Otel,Hotel
Adana,Atatürk Parkı,Park
Adana,Ulu Cami,Mosque
Adana,Pizzaria di Mozza,Pizza Place
Adana,Sheraton Grand Adana,Hotel
Adana,Adana Park Otel,Hotel
Adana,Muzzy Ocakbaşı,Turkish Restaurant
Adana,Golden Life Gym Center,Gym
Adana,La Creme,Café
Adana,Şehri Saray Apart Otel,Hotel
Adana,Sheraton River Grove Lounge,Lounge
Adana,Kuruköprü Şalgam ve Vişnecisi,Juice Bar
Adana,Yeni Uğur Cezerye,Candy Store
Adana,Kaya Kebap,Steakhouse
Adana,Paşalimanı Bistro & Lounge,Restaurant
Adana,Fatih Lokantası Ev Yemekleri,Soup Place
Adana,Cozy Burger & Steak,Burger Joint
Adana,Blackfish Adana,Seafood Restaurant
Adana,Lokal Cafe Bistro,Café
Adana,Cupcakes Torta,Cupcake Shop
Adana,Ciğerci Mahmut,Turkish Restaurant
Adana,Zara,Clothing Store
Adana,Serbalık Restaurant,Seafood Restaurant
Adana,7/C Ocakbaşı Gazipaşa,Kebab Restaurant
Adana,Yüksel Elem Ocakbaşı,Food Court
Adana,Brew Mood Caffee&Tea,Coffee Shop
Adana,Müslüm Baba Meyhanesi,Restaurant
Adana,Adana Atatürk Müzesi,History Museum
Adana,Yüce Erkek Kuaförü,Salon / Barbershop
Adana,Park Royal Luxury Hotel,Hotel
Adana,Yeni Adana Arkeoloji Muzesi,History Museum
Adana,Şen Ocakbaşı Tahsin Ustanin Yeri,Turkish Restaurant
Adana,Storie Store,Clothing Store
Adana,Ramazanoğlu Medresesi,Historic Site
Adana,Fitnat Meyhane,Meyhane
Adana,Edip Usta Ciğerci,Steakhouse
Adana,Tucco Gastropub,Gastropub
Adana,Tarihi Büyük Saat Ciğercisi,Kebab Restaurant
Adana,SEPHORA,Cosmetics Shop
Adana,Starbucks,Coffee Shop
Adana,Federal Coffee,Coffee Shop
Adana,Groseri,Supermarket
Adana,HiltonSA Fitness Club,Gym
Adana,Taşköprü Meyhanesi,Meyhane
Adana,Büyüksaat Kulesi,Historic Site
Adana,Atelier Nisi,Coffee Shop
Adana,Bulutlar Kuruyemiş,Candy Store
Adana,Agrodolce,Italian Restaurant
Adana,Çukurova Şekerleme,Candy Store
Adana,Gratis,Cosmetics Shop
Adana,Müstesna Meyhanesi,Meyhane
Adana,Hilton,Hotel
Adana,Lacoste,Clothing Store
Adana,Bitter Sweet Chocolate,Dessert Shop
Adana,Lanochefıthall,Gym / Fitness Center
Adana,Godiva,Chocolate Shop
Adana,Cengiz Hamburger,Fast Food Restaurant
Adana,Helvanın Mucidi Hacı Ahmet Şahin,Candy Store
Adana,Nü,Bar
Adana,Sheraton Otel Havuz,Pool
Adana,La Favola Pizzeria,Pizza Place
Adana,Soulmate Coffee & Bakery Ziyapaşa,Coffee Shop
Adana,Doğan Kaymaklı Kadayıf,Dessert Shop
Adana,Ali Baba Hamburger,Snack Place
Adana,Tavuk Dünyası,Fried Chicken Joint
Adana,Botta Bloom,Coffee Shop
Adana,Börekçi Rıza,Borek Place
Adana,Şırdancı Bedo,Turkish Restaurant
Adana,Ciğerci Kel Mahmut,Steakhouse
Adana,Mimar Ve Mühendisler Odası Lokali Bekir Usta,Steakhouse
Adana,Yaşar Kemal Yürüyüş ve Koşu Parkuru,Athletics & Sports
Adana,Kaburgacı Cabbar,Turkish Restaurant
Adana,Zerrin'in Mutfagi,Turkish Home Cooking Restaurant
Adana,AFAD,Art Gallery
Adana,Ceyhan Ocakbaşı,Steakhouse
Adana,Ergincar Oto Kiralama Vip Transfer,Rental Car Location
Adana,Turkcell Sinan,Mobile Phone Shop
Adana,Kantur Büfe,Buffet
Adana,Şef Kebap Kaburga & Ciğer,Kebab Restaurant
Adana,Cem Kuruyemis,Smoke Shop
Adıyaman,Perre Antik Kenti,Historic Site
Adıyaman,Hilton Garden Inn,Hotel
Adıyaman,Samos Otel,Hotel
Adıyaman,Hilton Garden Inn - Garden Grıll Breakfast,Buffet
Adıyaman,Adıyaman Tatlı Salonu,Dessert Shop
Adıyaman,Hotel Antiochos,Hotel
Adıyaman,White Star Hotel,Hotel
Adıyaman,Ciğerci Karadayı'nın Yeri,Kebab Restaurant
Adıyaman,Laila Saç Tasarımı,Arts & Crafts Store
Adıyaman,Olimpiyat Spor Salonu,Gym / Fitness Center
Adıyaman,Yılmazlar Restaurant Pirin,Dive Bar
Adıyaman,Akademi Spor Salonu,Gym
Adıyaman,Meşhur Bilal Usta Kebap,Restaurant
Adıyaman,Di Carnes Coffee & Restaurant,Restaurant
Adıyaman,Beko Kebap,Turkish Restaurant
Adıyaman,Adam Gibi Bir Yer Cafe & Restaurant,Café
Adıyaman,Damak Kuruyemiş,Candy Store
Adıyaman,Ziyaoğlu Ocakbaşı,Middle Eastern Restaurant
Adıyaman,Kartaltepe Çay Bahçesi,Recreation Center
Adıyaman,Karadag Tea House,Tea Room
Adıyaman,Galaxy Playstation,Gaming Cafe
Adıyaman,Maraş Pastanesi,Dessert Shop
Adıyaman,Özen Pastanesi,Dessert Shop
Adıyaman,Coffeemakers,Coffee Shop
Adıyaman,Meşhur Dönerci Mahmut Usta,Doner Restaurant
Adıyaman,Beşpınar Mesire Alanı,Botanical Garden
Adıyaman,Coffee Maker's,Coffee Shop
Adıyaman,Kahve Durağı,Coffee Shop
Adıyaman,Alim Sofrası,Comfort Food Restaurant
Adıyaman,Petunya Park,Café
Adıyaman,Yeni Nesil Adıyaman Çiğköfte Kenan Usta,Cigkofte Place
Adıyaman,kent market,Grocery Store
Adıyaman,Meyman Cafe,Café
Adıyaman,Hanımeli Restaurant & Cafe,Turkish Home Cooking Restaurant
Adıyaman,Kahve Sokağı,Coffee Shop
Adıyaman,sait usta ciger salonu,Wings Joint
Adıyaman,Tavuk Dünyası,Fried Chicken Joint
Adıyaman,Adıyaman Kalesi,Castle
Adıyaman,Nokay Fitness,Gym / Fitness Center
Adıyaman,Ciğerci Bahattin,Kebab Restaurant
Adıyaman,Antik Garden,Hotel
Adıyaman,Kahve Deposu,Café
Adıyaman,Shishapoint,Hookah Bar
Adıyaman,Elit Spor Center,Gym
Adıyaman,Kartal Tepesi Köy Kahvaltısı,Breakfast Spot
Adıyaman,adiyaman beş pınar vadisi,Campground
Adıyaman,Hookah Station Coffee,Café
Adıyaman,Altınşehir Olimpiyat Spor Salonu,Gym / Fitness Center
Adıyaman,Şef 'in sofrasi,Restaurant
Adıyaman,Güloğlu Pastanesi,Dessert Shop
Adıyaman,Ĕlan Cafe,Café
Adıyaman,Semaver Çay Evi,Café
Adıyaman,Keleş Konağı,Art Gallery
Adıyaman,Kasabım Zeynal,Steakhouse
Adıyaman,Saraylı Künefe,Dessert Shop
Adıyaman,Burcu Kebap,Turkish Restaurant
Adıyaman,Hayal Bumbar & Şırdan Salonu,Turkish Restaurant
Adıyaman,Yemen Kahvesi,Café
Adıyaman,Sürgü Ali Dayı'nın Yeri,Restaurant
Adıyaman,Chillbox,Café
Adıyaman,Frida Nargile Cafe,Café
Adıyaman,Sürgü Ali Dayı Resteurant,Seafood Restaurant
Adıyaman,Hotel Arsames,Hotel
Adıyaman,Şekerler Halı Saha,Soccer Field
Adıyaman,Şiraz Cafe,Tea Room
Adıyaman,Dem Cafe,Café
Adıyaman,Adıyaman Seyir Tepesi,Scenic Lookout
Adıyaman,Qbistro,Café
Adıyaman,Kervansaray Restaurant,Turkish Restaurant
Adıyaman,Mera Gurme Kahvaltı Salonu,Breakfast Spot
Adıyaman,Bayramefendi Osmanlı Kahvecisi,Coffee Shop
Adıyaman,Meşhur Yaşar Usta'nın Yeri,Soup Place
Adıyaman,Hasan Usta Meşhur Kebap Salonu,Turkish Restaurant
Adıyaman,Kervansaray Botanik Cafe,Café
Adıyaman,Güloğlu Pastanesi,Dessert Shop
Adıyaman,Gönül Kahvesi,Coffee Shop
Adıyaman,MM MİGROS,Supermarket
Adıyaman,Vitamin Amca Aile Cay Bahçesi,Park
Adıyaman,Adıyaman Belediyesi Eğriçay Parkı,Park
Adıyaman,AdıyamanPark,Shopping Mall
Adıyaman,Adıyaman Atletizim Pisti,Athletics & Sports
Adıyaman,Kahveland,Café
Adıyaman,Burger King,Fast Food Restaurant
Adıyaman,Royal Park Tesisleri,Recreation Center
Adıyaman,Sanayi Halı Saha,Soccer Stadium
Adıyaman,Rabat Resort Hotel,Hotel
Adıyaman,Gazihan Dede Mesire Alanı,Other Great Outdoors
Adıyaman,Cafe Mocha,Café
Adıyaman,Kocmar Market Altinsehir,Convenience Store
Adıyaman,Pierre Loti Cafe & Lounge,Hookah Bar
Adıyaman,Bizim Cafe,Café
Adıyaman,Mobilyacılar Sitesi,Furniture / Home Store
Adıyaman,Beşpınar Sultan Sarayı,Turkish Restaurant
Adıyaman,Adıyaman Havalimanı VIP bekleme salonu,Airport Lounge
Adıyaman,Adıyaman Havalimanı (ADF) (Adıyaman Havalimanı),Airport
Adıyaman,Mahmut El Ensari Piknik Alanı,Campground
Adıyaman,Cafe Safir,Café
Adıyaman,Adıyaman Havalimanı bekleme salonu,Park
Adıyaman,Özen Pastanesi Beşpinar Şubesi,Pastry Shop
Adıyaman,Kekik Cafe&Restaurant,Food Court
Afyonkarahisar,Devlet Parkı Hobi Bahçesi,Garden
Afyonkarahisar,Damak pide ve lahmacun salonu,Bakery
Afyonkarahisar,Tikir`in Yeri,Café
Afyonkarahisar,Yürüyüş Yolu,Trail
Afyonkarahisar,Çay ve Ötesi,Café
Afyonkarahisar,Kent Süpermarket,Big Box Store
Afyonkarahisar,Gökalp Pide Kebap,Kebab Restaurant
Afyonkarahisar,Ciğer İstanbul,Kebab Restaurant
Afyonkarahisar,Söz (Sahipata),Convenience Store
Afyonkarahisar,Gedik Ahmet Paşa İmaret Camii,Mosque
Afyonkarahisar,Salim Usta,Comfort Food Restaurant
Afyonkarahisar,Veysel Eroğlu Spor Salonu,Gym
Afyonkarahisar,R8 Playstation Cafe,Arcade
Afyonkarahisar,The Lockma Point,Dessert Shop
Afyonkarahisar,Dagdelen Fitness Center,Gym / Fitness Center
Afyonkarahisar,Tarihi Taş Han,Historic Site
Afyonkarahisar,Afyon Hünkar Islama Köfte,Kofte Place
Afyonkarahisar,Yavuz Giyim,Boutique
Afyonkarahisar,DoubleTree by Hilton,Hotel
Afyonkarahisar,Öztaylan Yayla Şekerleme,Candy Store
Afyonkarahisar,Dağdelen Life Club,Gym / Fitness Center
Afyonkarahisar,Selvi Haşgeşli Yöresel Lezzetler,Breakfast Spot
Afyonkarahisar,Altınay Lokum,Candy Store
Afyonkarahisar,Park Afyon,Shopping Mall
Afyonkarahisar,Tuğba Kuruyemiş,Coffee Shop
Afyonkarahisar,BALDEMSAN İnşaat ve Yapi Malz.  İbrahim Balık Ticaret,Hardware Store
Afyonkarahisar,Hıdırlık Tepesi,Scenic Lookout
Afyonkarahisar,Damak Pide & Lahmacun,Pide Place
Afyonkarahisar,Aşçı Bacaksız,Turkish Restaurant
Afyonkarahisar,The Boulevard No:38,Café
Afyonkarahisar,Büge Kurukahve,Shopping Mall
Afyonkarahisar,Şeref Kuyumculuk,Jewelry Store
Afyonkarahisar,Simge Ekmek,Bakery
Afyonkarahisar,harbiş üçgen park,Park
